      0.300000000000  ********************  ********************  ********************  ********************  ********************  ********************  ********************    
      0.301000000000  ********************  ********************  ********************  ********************  ********************  ********************  ********************    
      0.302000000000  ********************  ********************  ********************  ********************  ********************  ********************  ********************    
      0.322000000000  4738188.181943789124  4738191.358415948227  4738197.711360265501  4738207.240776742809  4738219.946665378287  4738235.829026172869  4738254.887859125622    
      0.323000000000  4564931.610658870079  4564934.767492916435  4564941.081161011942  4564950.551663152874  4564963.178999342024  4564978.963169579394  4564997.904173863120    
      0.324000000000  4398513.345502088778  4398516.482879579067  4398522.757634556852  4398532.169767024927  4398544.719276982360  4398560.406164429151  4398579.230429365300    
      0.325000000000  4238643.677658974193  4238646.795759228058  4238653.031959735788  4238662.386260497384  4238674.858661512844  4238690.449162783101  4238709.157764306292    
      0.326000000000  4085046.007345066871  4085049.106345211156  4085055.304345499258  4085064.601345932111  4085076.997346508782  4085092.492347229272  4085111.086348094512    
      0.327000000000  3937456.213036758360  3937459.293111755047  3937465.453261748422  3937474.693486738484  3937487.013786725700  3937502.414161708672  3937520.894611688796    
      0.328000000000  3795622.052851971705  3795625.114174652845  3795631.236820015125  3795640.420788058080  3795652.666078782175  3795667.972692187876  3795686.340628274251    
      0.329000000000  3659302.596350764856  3659305.639091864228  3659311.724574062973  3659320.852797360159  3659333.023761757184  3659348.237467253581  3659366.493913848884    
      0.330000000000  3528267.685124030337  3528270.709452215582  3528276.758108585142  3528285.831093139015  3528297.928405878134  3528313.050046802033  3528331.196015910711    
      0.331000000000  3402297.420630507171  3402300.426712409593  3402306.438876214903  3402315.457121922169  3402327.481449532323  3402342.511859044898  3402360.548350459896    
      0.332000000000  3281181.677829223685  3281184.665829471312  3281190.641829967033  3281199.605830710847  3281211.557831702754  3281226.497832941823  3281244.425834428985    
      0.333000000000  3164719.643235580064  3164722.613316826057  3164728.553479318973  3164737.463723057881  3164749.344048043247  3164764.194454274140  3164782.014941752423    
      0.334000000000  3052719.376106551383  3052722.328429503832  3052728.233075409662  3052737.090044267941  3052748.899336079136  3052763.660950843245  3052781.374888559803    
      0.335000000000  2944997.391532321926  2945000.326255773660  2945006.195702676196  2945014.999873029534  2945026.738766835071  2945041.412384091411  2945059.020724799018    
      0.336000000000  2841378.264279964846  2841381.181560819037  2841387.016122527886  2841395.767965090461  2841407.437088507228  2841422.023492778651  2841439.527177903801    
      0.337000000000  2741694.252298472915  2741697.152291774750  2741702.952278379351  2741711.652258285321  2741723.252231493592  2741737.752198003698  2741755.152157816105    
      0.338000000000  2645784.938855264802  2645787.821714227553  2645793.587432152592  2645802.236009040847  2645813.767444890924  2645828.181739703752  2645845.478893479332    
      0.339000000000  2553496.892330480274  2553499.758206511382  2553505.489958572667  2553514.087586664595  2553525.551090787165  2553539.880470940378  2553557.075727124698    
      0.340000000000  2464683.342749478295  2464686.191792205907  2464691.889877661131  2464700.437005844433  2464711.833176754881  2464726.078390393872  2464743.172646760009    
      0.341000000000  2379203.874183961190  2379206.706541262101  2379212.371255864389  2379220.868327767123  2379232.197756971233  2379246.359543476254  2379263.353687282652    
      0.342000000000  2296924.132199936546  2296926.948017960414  2296932.579654007684  2296941.027108078822  2296952.290380173363  2296966.369470291771  2296983.264378434047    
      0.343000000000  2217715.545575364958  2217718.344998558983  2217723.943844946567  2217732.342114527710  2217743.539807302412  2217757.536923271604  2217774.333462433890    
      0.344000000000  2141455.061552711762  2141457.844723845832  2141463.411066113971  2141471.760579516180  2141482.893264052458  2141496.809119722806  2141513.508146527223    
      0.345000000000  2068024.893931367667  2068027.660991559271  2068033.195111942943  2068041.496292517986  2068052.564533284865  2068066.399834243581  2068083.002195394365    
      0.346000000000  1997312.283342454117  1997315.034431191860  1997320.536608667346  1997328.789874880342  1997339.794229831081  1997353.549673519563  1997370.056205945788    
      0.347000000000  1929209.269084083382  1929212.004339249805  1929217.474849582184  1929225.680615081219  1929236.621635746444  1929250.297911578324  1929266.709442575928    
      0.348000000000  1863612.471928369021  1863615.191486264346  1863620.630602054298  1863628.789275739342  1863639.667507319711  1863653.265296794707  1863669.582644165028    
      0.349000000000  1800422.887343271868  1800425.591338635888  1800430.999329363694  1800439.111315455521  1800449.927296911366  1800463.447273730766  1800479.671245914418    
      0.350000000000  1739545.688601884991  1739548.377167920349  1739553.754299990833  1739561.819998096908  1739572.574262237875  1739586.017092414200  1739602.148488625651    
      0.351000000000  1680890.039280047873  1680892.712548441254  1680898.059085228015  1680906.078890407691  1680916.771963980747  1680930.138305947417  1680946.177916307002    
      0.352000000000  1624368.914669613820  1624371.572770557366  1624376.888972444693  1624384.863275275566  1624395.495679050218  1624408.786183768651  1624424.734789430397    
      0.353000000000  1569898.931659796508  1569901.574722009478  1569906.860846435884  1569914.790033075493  1569925.362281928072  1569938.577592994086  1569954.435966273071    
      0.354000000000  1517400.186662574997  1517402.814813324250  1517408.071114823455  1517415.955567071913  1517426.468170069624  1517439.608923817053  1517455.377828313969    
